UNICODE;P;D;L;V;LATITUDE;LONGITUDE
1.28.5.77;1;28;5;77;-16.54360379;-71.47750063
1.28.5.78;1;28;5;78;-16.54348558;-71.47760473
1.28.5.79;1;28;5;79;-16.54381709;-71.47792949
1.28.5.80;1;28;5;80;-16.54403275;-71.47806117
1.28.5.81;1;28;5;81;-16.54561718;-71.47896882
1.28.5.82;1;28;5;82;-16.54922666;-71.4801707
1.28.5.83;1;28;5;83;-16.54866286;-71.48152602
1.28.5.84;1;28;5;84;-16.54830919;-71.48201563
1.28.5.85;1;28;5;85;-16.54784682;-71.48200937
1.28.5.86;1;28;5;86;-16.540142;-71.49297516
1.28.5.87;1;28;5;87;-16.53977617;-71.49244552
1.28.5.88;1;28;5;88;-16.53938241;-71.49277288
1.28.5.89;1;28;5;89;-16.53915893;-71.49251791
1.28.5.90;1;28;5;90;-16.5389943;-71.49189962
1.28.5.91;1;28;5;91;-16.53973272;-71.49168212
1.28.5.92;1;28;5;92;-16.53935893;-71.49017657
1.28.5.93;1;28;5;93;-16.54609233;-71.48541598
1.28.5.94;1;28;5;94;-16.54633625;-71.4836472
1.28.5.95;1;28;5;95;-16.54637441;-71.48330104
1.28.5.96;1;28;5;96;-16.54646273;-71.48318155
1.28.5.97;1;28;5;97;-16.54532065;-71.47947125
1.28.5.98;1;28;5;98;-16.54405047;-71.47837449
1.28.5.99;1;28;5;99;-16.5437258;-71.47799443
1.28.5.100;1;28;5;100;-16.54352728;-71.4778765
1.28.5.101;1;28;5;101;-16.54339531;-71.4778039
1.28.5.102;1;28;5;102;-16.54329093;-71.47764721
1.28.5.103;1;28;5;103;-16.54313548;-71.47755957
1.28.5.104;1;28;5;104;-16.5430666;-71.47742401
1.28.5.105;1;28;5;105;-16.54292519;-71.4775382
1.28.5.106;1;28;5;106;-16.54276112;-71.47723771
1.28.5.107;1;28;5;107;-16.54272242;-71.47692682
1.28.5.108;1;28;5;108;-16.54308234;-71.47716507
1.28.5.109;1;28;5;109;-16.54337485;-71.47740119
1.28.5.110;1;28;5;110;-16.54344612;-71.47733459
1.28.5.111;1;28;5;111;-16.54351599;-71.4773
1.28.5.112;1;28;5;112;-16.54370372;-71.47715672
1.28.5.113;1;28;5;113;-16.54386596;-71.47708862
1.28.5.114;1;28;5;114;-16.54398439;-71.47694117
1.28.5.115;1;28;5;115;-16.54559413;-71.47587863
1.28.5.116;1;28;5;116;-16.5463835;-71.47534859
1.28.5.117;1;28;5;117;-16.54648065;-71.4752301
1.28.5.118;1;28;5;118;-16.54656896;-71.47513615
1.28.5.119;1;28;5;119;-16.54669001;-71.4750634
1.28.5.120;1;28;5;120;-16.54675603;-71.4750002
1.28.5.121;1;28;5;121;-16.54682228;-71.47495822
1.28.5.122;1;28;5;122;-16.5469214;-71.47484392
1.28.5.123;1;28;5;123;-16.54702921;-71.47472438
1.28.5.124;1;28;5;124;-16.54710923;-71.47465079
1.28.5.125;1;28;5;125;-16.54718455;-71.47456668
1.28.5.126;1;28;5;126;-16.54727437;-71.4744956
1.28.5.127;1;28;5;127;-16.54737017;-71.47438056
1.28.5.128;1;28;5;128;-16.54746074;-71.47430049
1.28.5.129;1;28;5;129;-16.54752378;-71.47424073
1.28.5.130;1;28;5;130;-16.54758165;-71.47416869
1.28.5.131;1;28;5;131;-16.54765278;-71.47411645
1.28.5.132;1;28;5;132;-16.54774444;-71.47400992
1.28.5.133;1;28;5;133;-16.54777407;-71.47391141
1.28.5.134;1;28;5;134;-16.54785278;-71.47377721
1.28.5.135;1;28;5;135;-16.54791562;-71.47368955
1.28.5.136;1;28;5;136;-16.54798747;-71.47359135
1.28.5.137;1;28;5;137;-16.54807222;-71.47346117
1.28.5.138;1;28;5;138;-16.54814516;-71.47332778
1.28.5.139;1;28;5;139;-16.54819894;-71.47323075
1.28.5.140;1;28;5;140;-16.54828617;-71.47311625
1.28.5.141;1;28;5;141;-16.54902383;-71.47166071
1.28.5.142;1;28;5;142;-16.54905789;-71.47158315
1.28.5.143;1;28;5;143;-16.54956062;-71.47017342
1.28.4.1;1;28;4;1;-16.56082933;-71.46947266
1.28.4.2;1;28;4;2;-16.56091238;-71.46955562
1.28.4.3;1;28;4;3;-16.56088456;-71.46965073
1.28.4.4;1;28;4;4;-16.56092508;-71.46972778
1.28.4.5;1;28;4;5;-16.56092005;-71.46981258
1.28.4.6;1;28;4;6;-16.56093872;-71.46990869
1.28.4.7;1;28;4;7;-16.56100324;-71.47075265
1.28.4.8;1;28;4;8;-16.56095079;-71.47083333
1.28.4.9;1;28;4;9;-16.56088952;-71.4708842
1.28.4.10;1;28;4;10;-16.56082778;-71.47095608
1.28.4.11;1;28;4;11;-16.56077235;-71.47104668
1.28.4.12;1;28;4;12;-16.56071406;-71.47111069
1.28.4.13;1;28;4;13;-16.56065861;-71.47116022
1.28.4.14;1;28;4;14;-16.56059249;-71.47124444
1.28.4.15;1;28;4;15;-16.56052232;-71.47140556
1.28.4.16;1;28;4;16;-16.5604073;-71.4714475
1.28.4.17;1;28;4;17;-16.56038824;-71.47156108
1.28.4.18;1;28;4;18;-16.55989485;-71.4719603
1.28.4.19;1;28;4;19;-16.55980034;-71.47201299
1.28.4.20;1;28;4;20;-16.55972086;-71.47207924
