"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"4807","1.1.34.695","1","1","34","695","2","T",NA,NA
"4808","1.1.34.696","1","1","34","696","1","T",NA,NA
"4809","1.1.34.696","1","1","34","696","2","T",NA,NA
"4810","1.1.34.697","1","1","34","697","1","T",NA,NA
"4811","1.1.34.697","1","1","34","697","2","T",NA,NA
"4812","1.1.34.698","1","1","34","698","1","R",NA,NA
"4813","1.1.34.698","1","1","34","698","2","T",NA,NA
"4814","1.1.34.699","1","1","34","699","1","R",NA,NA
"4815","1.1.34.699","1","1","34","699","2","T",NA,NA
"4816","1.1.34.69A","1","1","34","69A","1","T",NA,NA
"4817","1.1.34.69A","1","1","34","69A","2","T",NA,NA
"4818","1.1.34.7","1","1","34","7","1","T",NA,NA
"4819","1.1.34.7","1","1","34","7","2","T",NA,NA
"4820","1.1.34.70","1","1","34","70","1","T",NA,"1"
"4821","1.1.34.70","1","1","34","70","2","T",NA,NA
"4822","1.1.34.700","1","1","34","700","1","R",NA,NA
"4823","1.1.34.700","1","1","34","700","2","T",NA,NA
"4824","1.1.34.701","1","1","34","701","1","T",NA,NA
"4825","1.1.34.701","1","1","34","701","2","T",NA,NA
"4826","1.1.34.702","1","1","34","702","1","C",NA,NA
"4827","1.1.34.702","1","1","34","702","2","C",NA,NA
"4828","1.1.34.703","1","1","34","703","1","T",NA,NA
"4829","1.1.34.703","1","1","34","703","2","T",NA,NA
"4830","1.1.34.704","1","1","34","704","1","T",NA,NA
"4831","1.1.34.704","1","1","34","704","2","T",NA,NA
"4832","1.1.34.705","1","1","34","705","1","R",NA,NA
"4833","1.1.34.705","1","1","34","705","2","C",NA,NA
"4834","1.1.34.706","1","1","34","706","1","T",NA,NA
"4835","1.1.34.706","1","1","34","706","2","T",NA,NA
"4836","1.1.34.707","1","1","34","707","1","R",NA,NA
"4837","1.1.34.707","1","1","34","707","2","T",NA,NA
"4838","1.1.34.708","1","1","34","708","1","R",NA,NA
"4839","1.1.34.708","1","1","34","708","2","T",NA,NA
"4840","1.1.34.709","1","1","34","709","1","R",NA,NA
"4841","1.1.34.709","1","1","34","709","2","T",NA,NA
"4842","1.1.34.71","1","1","34","71","1","T",NA,NA
"4843","1.1.34.71","1","1","34","71","2","T",NA,NA
"4844","1.1.34.710","1","1","34","710","1","R",NA,NA
"4845","1.1.34.710","1","1","34","710","2","T",NA,NA
"4846","1.1.34.711","1","1","34","711","1","T",NA,NA
"4847","1.1.34.711","1","1","34","711","2","T",NA,NA
"4848","1.1.34.712","1","1","34","712","1","T",NA,NA
"4849","1.1.34.712","1","1","34","712","2","T",NA,NA
"4850","1.1.34.713","1","1","34","713","1","T",NA,NA
"4851","1.1.34.713","1","1","34","713","2","T",NA,NA
"4852","1.1.34.714","1","1","34","714","1","T",NA,NA
"4853","1.1.34.714","1","1","34","714","2","T",NA,NA
"4854","1.1.34.714A","1","1","34","714A","2","T",NA,NA
"4855","1.1.34.715","1","1","34","715","1","T",NA,NA
"4856","1.1.34.715","1","1","34","715","2","T",NA,NA
"4857","1.1.34.716","1","1","34","716","1","C",NA,NA
"4858","1.1.34.716","1","1","34","716","2","C",NA,NA
"4859","1.1.34.717","1","1","34","717","1","T",NA,NA
