"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.18.17.78",1,"18","17","78",-16.41687338,-71.59325008,"9","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.79",1,"18","17","79",-16.41667333,-71.59322556,"10","0","0","05/01/2006",2,0,0,1,0,0,0
"1.18.17.79",1,"18","17","79",-16.41667333,-71.59322556,"10","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.8",1,"18","17","8",-16.41802902,-71.5931108,"2","0","0","06/01/2006",2,0,0,1,0,0,0
"1.18.17.8",1,"18","17","8",-16.41802902,-71.5931108,"2","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.80",1,"18","17","80",-16.41668247,-71.59315503,"10","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.80",1,"18","17","80",-16.41668247,-71.59315503,"10","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.81",1,"18","17","81",-16.41668473,-71.59308131,"10","0","0","06/01/2006",2,0,0,0,0,0,0
"1.18.17.81",1,"18","17","81",-16.41668473,-71.59308131,"10","0","0","31/05/2005",1,0,0,0,1,0,0
"1.18.17.82",1,"18","17","82",-16.41671763,-71.59294721,"10","0","0","05/01/2006",2,0,0,0,1,0,0
"1.18.17.82",1,"18","17","82",-16.41671763,-71.59294721,"10","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.83",1,"18","17","83",-16.41663446,-71.59294828,"10","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.83",1,"18","17","83",-16.41663446,-71.59294828,"10","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.84",1,"18","17","84",-16.41655239,-71.59293154,"10","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.84",1,"18","17","84",-16.41655239,-71.59293154,"10","0","0","05/01/2006",2,1,0,0,0,0,0
