"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.23.15.26",1,"23","15","26",-16.45378594,-71.61809941,"3","0","0","12/02/2006",2,1,0,0,0,0,0
"1.23.15.27",1,"23","15","27",-16.45391952,-71.61818388,"3","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.27",1,"23","15","27",-16.45391952,-71.61818388,"3","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.28",1,"23","15","28",-16.45424696,-71.6180626,"4","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.28",1,"23","15","28",-16.45424696,-71.6180626,"4","0","0","12/02/2006",2,0,0,0,1,0,0
"1.23.15.29",1,"23","15","29",-16.4541708,-71.61800619,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.29",1,"23","15","29",-16.4541708,-71.61800619,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.3",1,"23","15","3",-16.45192884,-71.61790306,"1","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.3",1,"23","15","3",-16.45192884,-71.61790306,"1","0","0","12/02/2006",2,0,0,1,0,0,0
"1.23.15.30",1,"23","15","30",-16.45406134,-71.61797882,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.30",1,"23","15","30",-16.45406134,-71.61797882,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.31",1,"23","15","31",-16.45397453,-71.61793261,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.31",1,"23","15","31",-16.45397453,-71.61793261,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.32",1,"23","15","32",-16.4538987,-71.61788769,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.32",1,"23","15","32",-16.4538987,-71.61788769,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.33",1,"23","15","33",-16.45374981,-71.61784193,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.33",1,"23","15","33",-16.45374981,-71.61784193,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.34",1,"23","15","34",-16.45378778,-71.61776735,"4","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.34",1,"23","15","34",-16.45378778,-71.61776735,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.35",1,"23","15","35",-16.4538951,-71.61767264,"4","0","0","12/02/2006",2,0,0,0,0,0,0
"1.23.15.35",1,"23","15","35",-16.4538951,-71.61767264,"4","0","0","12/08/2005",1,0,0,0,0,0,0
"1.23.15.36",1,"23","15","36",-16.45400129,-71.61769384,"4","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.36",1,"23","15","36",-16.45400129,-71.61769384,"4","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.37",1,"23","15","37",-16.45408256,-71.61773228,"4","0","0","10/08/2005",1,1,0,0,0,0,0
"1.23.15.37",1,"23","15","37",-16.45408256,-71.61773228,"4","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.38",1,"23","15","38",-16.45415676,-71.61778784,"4","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.38",1,"23","15","38",-16.45415676,-71.61778784,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.39",1,"23","15","39",-16.45423953,-71.61783189,"4","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.39",1,"23","15","39",-16.45423953,-71.61783189,"4","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.4",1,"23","15","4",-16.45262332,-71.61822793,"1","0","0","12/02/2006",2,0,0,0,1,0,0
"1.23.15.4",1,"23","15","4",-16.45262332,-71.61822793,"1","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.40",1,"23","15","40",-16.45430539,-71.6178804,"4","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.40",1,"23","15","40",-16.45430539,-71.6178804,"4","0","0","12/02/2006",2,0,1,0,0,0,0
"1.23.15.41",1,"23","15","41",-16.45438837,-71.61795075,"4","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.41",1,"23","15","41",-16.45438837,-71.61795075,"4","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.42",1,"23","15","42",-16.45431727,-71.61830847,"5","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.42",1,"23","15","42",-16.45431727,-71.61830847,"5","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.15.43",1,"23","15","43",-16.45443765,-71.61824408,"5","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.43",1,"23","15","43",-16.45443765,-71.61824408,"5","0","0","12/02/2006",2,0,0,1,0,0,0
"1.23.15.44",1,"23","15","44",-16.45448395,-71.61817525,"5","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.44",1,"23","15","44",-16.45448395,-71.61817525,"5","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.45",1,"23","15","45",-16.45453958,-71.61811278,"5","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.45",1,"23","15","45",-16.45453958,-71.61811278,"5","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.46",1,"23","15","46",-16.45459246,-71.61804208,"5","0","0","10/08/2005",1,1,0,0,0,0,0
"1.23.15.46",1,"23","15","46",-16.45459246,-71.61804208,"5","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.47",1,"23","15","47",-16.45502626,-71.61811788,"7","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.47",1,"23","15","47",-16.45502626,-71.61811788,"7","0","0","12/02/2006",2,0,0,0,1,0,0
"1.23.15.48",1,"23","15","48",-16.45512616,-71.6180448,"7","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.48",1,"23","15","48",-16.45512616,-71.6180448,"7","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.49",1,"23","15","49",-16.45525994,-71.61791951,"7","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.49",1,"23","15","49",-16.45525994,-71.61791951,"7","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.4A",1,"23","15","4A",-16.45268729,-71.61829732,"1","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.5",1,"23","15","5",-16.45286033,-71.61815454,"1","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.5",1,"23","15","5",-16.45286033,-71.61815454,"1","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.50",1,"23","15","50",-16.45533784,-71.61804181,"6","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.50",1,"23","15","50",-16.45533784,-71.61804181,"6","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.51",1,"23","15","51",-16.45537426,-71.61814601,"6","0","0","12/02/2006",2,1,0,0,0,0,0
"1.23.15.51",1,"23","15","51",-16.45537426,-71.61814601,"6","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.52",1,"23","15","52",-16.4553096,-71.61822955,"6","0","0","12/02/2006",2,0,1,0,0,0,0
"1.23.15.52",1,"23","15","52",-16.4553096,-71.61822955,"6","0","0","12/08/2005",1,0,0,1,0,0,0
"1.23.15.53",1,"23","15","53",-16.45521519,-71.6183466,"6","0","0","02/02/2006",2,1,0,0,0,0,0
"1.23.15.53",1,"23","15","53",-16.45521519,-71.6183466,"6","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.54",1,"23","15","54",-16.4551418,-71.61824712,"6","0","0","09/08/2005",1,1,0,0,0,0,0
