"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.28.3.123",1,"28","3","123",-16.5696,-71.45535757,"17","0","0","0",1,0,0,1,0,0,0
"1.28.3.123",1,"28","3","123",-16.5696,-71.45535757,"17","0","0","0",2,0,0,0,1,0,0
"1.28.3.124",1,"28","3","124",-16.56947355,-71.4552,"17","","0","10/07/2009",2,1,0,0,0,0,0
"1.28.3.124",1,"28","3","124",-16.56947355,-71.4552,"17","","0","05/21/09",2,1,0,0,0,0,0
"1.28.3.125",1,"28","3","125",-16.56966944,-71.45520129,"17","","0","05/25/09",2,1,0,0,0,0,0
"1.28.3.125",1,"28","3","125",-16.56966944,-71.45520129,"17","0","0","0",2,0,1,0,0,0,0
"1.28.3.126",1,"28","3","126",-16.56978346,-71.45467813,"18","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.126",1,"28","3","126",-16.56978346,-71.45467813,"18","","0","05/19/09",2,1,0,0,0,0,0
"1.28.3.127",1,"28","3","127",-16.56985833,-71.45452161,"18","0","0","0",2,0,0,0,1,0,0
"1.28.3.127",1,"28","3","127",-16.56985833,-71.45452161,"18","0","0","0",1,0,0,0,1,0,0
"1.28.3.128",1,"28","3","128",-16.56992537,-71.45437924,"18","0","0","0",2,0,0,0,1,0,0
"1.28.3.128",1,"28","3","128",-16.56992537,-71.45437924,"18","0","0","0",1,0,0,0,1,0,0
"1.28.3.129",1,"28","3","129",-16.57002035,-71.45419733,"18","3","12","05/19/09",2,1,0,0,0,0,0
"1.28.3.129",1,"28","3","129",-16.57002035,-71.45419733,"18","0","0","0",2,0,0,0,1,0,0
"1.28.3.13",1,"28","3","13",-16.57071432,-71.4440706,"4","","0","10/05/2009",2,1,0,0,0,0,0
"1.28.3.13",1,"28","3","13",-16.57071432,-71.4440706,"4","0","0","0",1,0,0,0,1,0,0
"1.28.3.130",1,"28","3","130",-16.57009523,-71.45402778,"18","0","0","0",2,0,0,0,1,0,0
"1.28.3.130",1,"28","3","130",-16.57009523,-71.45402778,"18","","0","05/22/09",2,1,0,0,0,0,0
"1.28.3.131",1,"28","3","131",-16.56950805,-71.45371994,"18","0","0","0",2,0,0,0,1,0,0
"1.28.3.131",1,"28","3","131",-16.56950805,-71.45371994,"18","0","0","0",1,0,0,0,1,0,0
"1.28.3.132",1,"28","3","132",-16.56921131,-71.45365646,"19","0","0","0",1,0,0,0,1,0,0
"1.28.3.132",1,"28","3","132",-16.56921131,-71.45365646,"19","0","0","0",2,0,0,0,1,0,0
"1.28.3.133",1,"28","3","133",-16.56821441,-71.45318139,"19","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.133",1,"28","3","133",-16.56821441,-71.45318139,"19","","0","10/07/2009",2,1,0,0,0,0,0
"1.28.3.134",1,"28","3","134",-16.56931416,-71.45344654,"20","","0","05/19/09",2,1,0,0,0,0,0
"1.28.3.134",1,"28","3","134",-16.56931416,-71.45344654,"20","","0","10/06/2009",2,1,0,0,0,0,0
"1.28.3.135",1,"28","3","135",-16.56957222,-71.45327265,"21","","0","10/06/2009",2,1,0,0,0,0,0
"1.28.3.135",1,"28","3","135",-16.56957222,-71.45327265,"21","","0","05/19/09",2,1,0,0,0,0,0
"1.28.3.136",1,"28","3","136",-16.57006755,-71.45336738,"21","0","0","0",2,0,0,0,1,0,0
"1.28.3.136",1,"28","3","136",-16.57006755,-71.45336738,"21","0","0","0",1,0,0,0,1,0,0
"1.28.3.137",1,"28","3","137",-16.57037801,-71.4534897,"21","","0","05/19/09",2,1,0,0,0,0,0
"1.28.3.137",1,"28","3","137",-16.57037801,-71.4534897,"21","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.138",1,"28","3","138",-16.57029167,-71.45366634,"21","0","0","0",2,0,0,0,1,0,0
"1.28.3.138",1,"28","3","138",-16.57029167,-71.45366634,"21","0","0","0",1,0,0,0,1,0,0
"1.28.3.139",1,"28","3","139",-16.57022913,-71.45385707,"21","0","0","0",1,0,0,0,1,0,0
"1.28.3.139",1,"28","3","139",-16.57022913,-71.45385707,"21","0","0","0",2,0,0,0,1,0,0
"1.28.3.14",1,"28","3","14",-16.57282136,-71.44537559,"5","0","0","0",2,0,0,1,0,0,0
"1.28.3.14",1,"28","3","14",-16.57282136,-71.44537559,"5","0","0","0",1,0,0,0,1,0,0
"1.28.3.140",1,"28","3","140",-16.56962629,-71.45269579,"20","0","0","0",1,0,0,0,1,0,0
"1.28.3.140",1,"28","3","140",-16.56962629,-71.45269579,"20","0","0","0",2,0,0,0,1,0,0
"1.28.3.141",1,"28","3","141",-16.56971873,-71.45249531,"2","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.141",1,"28","3","141",-16.56971873,-71.45249531,"2","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.142",1,"28","3","142",-16.5697936,-71.452775,"21","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.142",1,"28","3","142",-16.5697936,-71.452775,"21","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.143",1,"28","3","143",-16.57052889,-71.45313663,"21","","0","10/14/09",2,1,0,0,0,0,0
"1.28.3.143",1,"28","3","143",-16.57052889,-71.45313663,"21","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.144",1,"28","3","144",-16.57062806,-71.45290128,"2","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.144",1,"28","3","144",-16.57062806,-71.45290128,"2","","0","10/07/2009",2,1,0,0,0,0,0
"1.28.3.145",1,"28","3","145",-16.57071995,-71.45272002,"2","0","0","0",2,0,0,1,0,0,0
"1.28.3.145",1,"28","3","145",-16.57071995,-71.45272002,"2","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.146",1,"28","3","146",-16.5709375,-71.45236115,"2","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.146",1,"28","3","146",-16.5709375,-71.45236115,"2","","0","10/07/2009",2,1,0,0,0,0,0
"1.28.3.147",1,"28","3","147",-16.57088115,-71.45217954,"2","0","0","0",2,0,0,1,0,0,0
"1.28.3.147",1,"28","3","147",-16.57088115,-71.45217954,"2","0","0","0",1,0,0,0,1,0,0
"1.28.3.148",1,"28","3","148",-16.57076033,-71.4520129,"2","0","0","0",1,0,0,0,1,0,0
"1.28.3.148",1,"28","3","148",-16.57076033,-71.4520129,"2","0","0","0",2,0,0,0,1,0,0
"1.28.3.149",1,"28","3","149",-16.57069928,-71.45172769,"2","0","0","0",1,0,0,0,1,0,0
"1.28.3.149",1,"28","3","149",-16.57069928,-71.45172769,"2","0","0","0",2,0,0,0,1,0,0
"1.28.3.15",1,"28","3","15",-16.57211028,-71.44887836,"5","0","0","0",2,0,0,1,0,0,0
"1.28.3.15",1,"28","3","15",-16.57211028,-71.44887836,"5","0","0","0",1,0,0,0,1,0,0
"1.28.3.150",1,"28","3","150",-16.57070234,-71.45157291,"2","0","0","0",2,0,0,0,1,0,0
"1.28.3.150",1,"28","3","150",-16.57070234,-71.45157291,"2","0","0","0",1,0,0,0,1,0,0
"1.28.3.151",1,"28","3","151",-16.57051102,-71.45097222,"2","0","0","0",1,0,0,0,1,0,0
"1.28.3.151",1,"28","3","151",-16.57051102,-71.45097222,"2","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.152",1,"28","3","152",-16.57097893,-71.45183982,"22","0","0","0",1,0,0,0,1,0,0
"1.28.3.152",1,"28","3","152",-16.57097893,-71.45183982,"22","0","0","0",2,0,0,0,1,0,0
"1.28.3.153",1,"28","3","153",-16.57118042,-71.45225383,"22","0","0","0",2,0,0,0,1,0,0
